name,birth_date,death_date,description,occupation,nationality,gender
Allen Ginsberg,1926-06-03T00:00:00Z,1997-04-05T00:00:00Z,American poet and writer (1926–1997),screenwriter,United States,male
Allen Ginsberg,1926-06-03T00:00:00Z,1997-04-05T00:00:00Z,American poet and writer (1926–1997),photographer,United States,male
Allen Ginsberg,1926-06-03T00:00:00Z,1997-04-05T00:00:00Z,American poet and writer (1926–1997),writer,United States,male
Allen Ginsberg,1926-06-03T00:00:00Z,1997-04-05T00:00:00Z,American poet and writer (1926–1997),teacher,United States,male
Allen Ginsberg,1926-06-03T00:00:00Z,1997-04-05T00:00:00Z,American poet and writer (1926–1997),poet,United States,male
Allen Ginsberg,1926-06-03T00:00:00Z,1997-04-05T00:00:00Z,American poet and writer (1926–1997),playwright,United States,male
Allen Ginsberg,1926-06-03T00:00:00Z,1997-04-05T00:00:00Z,American poet and writer (1926–1997),musician,United States,male
Allen Ginsberg,1926-06-03T00:00:00Z,1997-04-05T00:00:00Z,American poet and writer (1926–1997),autobiographer,United States,male
Allen Ginsberg,1926-06-03T00:00:00Z,1997-04-05T00:00:00Z,American poet and writer (1926–1997),diarist,United States,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",screenwriter,Russia,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",writer,Russia,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",teacher,Russia,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",military personnel,Russia,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",poet,Russia,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",historian,Russia,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",playwright,Russia,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",public figure,Russia,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",school teacher,Russia,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",full member of RAS,Russia,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",opinion journalist,Russia,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",novelist,Russia,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",prose writer,Russia,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",short story writer,Russia,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",militant,Russia,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",screenwriter,Soviet Union,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",writer,Soviet Union,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",teacher,Soviet Union,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",military personnel,Soviet Union,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",poet,Soviet Union,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",historian,Soviet Union,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",playwright,Soviet Union,male
