name,birth_date,death_date,description,occupation,nationality,gender
Anna Akhmatova,1889-06-23T00:00:00Z,1966-03-05T00:00:00Z,Russian poet (1889–1966),writer,Soviet Union,female
Anna Akhmatova,1889-06-23T00:00:00Z,1966-03-05T00:00:00Z,Russian poet (1889–1966),poet,Soviet Union,female
Anna Akhmatova,1889-06-23T00:00:00Z,1966-03-05T00:00:00Z,Russian poet (1889–1966),translator,Soviet Union,female
Anna Akhmatova,1889-06-23T00:00:00Z,1966-03-05T00:00:00Z,Russian poet (1889–1966),literary critic,Soviet Union,female
Anna Akhmatova,1889-06-23T00:00:00Z,1966-03-05T00:00:00Z,Russian poet (1889–1966),literary scholar,Soviet Union,female
Anna Akhmatova,1889-06-23T00:00:00Z,1966-03-05T00:00:00Z,Russian poet (1889–1966),writer,Russian Empire,female
Anna Akhmatova,1889-06-23T00:00:00Z,1966-03-05T00:00:00Z,Russian poet (1889–1966),poet,Russian Empire,female
Anna Akhmatova,1889-06-23T00:00:00Z,1966-03-05T00:00:00Z,Russian poet (1889–1966),translator,Russian Empire,female
Anna Akhmatova,1889-06-23T00:00:00Z,1966-03-05T00:00:00Z,Russian poet (1889–1966),literary critic,Russian Empire,female
Anna Akhmatova,1889-06-23T00:00:00Z,1966-03-05T00:00:00Z,Russian poet (1889–1966),literary scholar,Russian Empire,female
Alice Munro,1931-07-10T00:00:00Z,2024-05-13T00:00:00Z,Canadian writer (1931–2024),screenwriter,Canada,female
Alice Munro,1931-07-10T00:00:00Z,2024-05-13T00:00:00Z,Canadian writer (1931–2024),writer,Canada,female
Alice Munro,1931-07-10T00:00:00Z,2024-05-13T00:00:00Z,Canadian writer (1931–2024),journalist,Canada,female
Alice Munro,1931-07-10T00:00:00Z,2024-05-13T00:00:00Z,Canadian writer (1931–2024),novelist,Canada,female
Alice Munro,1931-07-10T00:00:00Z,2024-05-13T00:00:00Z,Canadian writer (1931–2024),short story writer,Canada,female
