linked_person,target
Albert Camus,Gabriela Mistral
Anatole France,Gabriela Mistral
André Gide,Gabriela Mistral
Aleksandr Solzhenitsyn,Gabriela Mistral
Alexander Fleming,Gabriela Mistral
April 7,Gabriela Mistral
Bertrand Russell,Gabriela Mistral
Boris Pasternak,Gabriela Mistral
Chile,Gabriela Mistral
Czesław Miłosz,Gabriela Mistral
Derek Walcott,Gabriela Mistral
Ernest Hemingway,Gabriela Mistral
Elias Canetti,Gabriela Mistral
Frans Eemil Sillanpää,Gabriela Mistral
George Bernard Shaw,Gabriela Mistral
Giosuè Carducci,Gabriela Mistral
Grazia Deledda,Gabriela Mistral
Henryk Sienkiewicz,Gabriela Mistral
Henri Bergson,Gabriela Mistral
Hermann Hesse,Gabriela Mistral
Halldór Laxness,Gabriela Mistral
Isaac Bashevis Singer,Gabriela Mistral
John Steinbeck,Gabriela Mistral
January 10,Gabriela Mistral
Jean-Paul Sartre,Gabriela Mistral
John Adams (composer),Gabriela Mistral
Knut Hamsun,Gabriela Mistral
Latin America,Gabriela Mistral
Luigi Pirandello,Gabriela Mistral
Nicanor Parra,Gabriela Mistral
Naguib Mahfouz,Gabriela Mistral
Patrick White,Gabriela Mistral
Peter Handke,Gabriela Mistral
Rudyard Kipling,Gabriela Mistral
List of Spanish-language poets,Gabriela Mistral
Samuel Beckett,Gabriela Mistral
Saul Bellow,Gabriela Mistral
Sigrid Undset,Gabriela Mistral
Shmuel Yosef Agnon,Gabriela Mistral
Thomas Mann,Gabriela Mistral
T. S. Eliot,Gabriela Mistral
Winston Churchill,Gabriela Mistral
Władysław Reymont,Gabriela Mistral
Wisława Szymborska,Gabriela Mistral
W. B. Yeats,Gabriela Mistral
William Faulkner,Gabriela Mistral
Wole Soyinka,Gabriela Mistral
Wolfgang Pauli,Gabriela Mistral
William Golding,Gabriela Mistral
1957,Gabriela Mistral
1945,Gabriela Mistral
1889,Gabriela Mistral
John Galsworthy,Gabriela Mistral
Howard Florey,Gabriela Mistral
Toni Morrison,Gabriela Mistral
Gabriele D'Annunzio,Gabriela Mistral
José Saramago,Gabriela Mistral
Sinclair Lewis,Gabriela Mistral
Sully Prudhomme,Gabriela Mistral
Seamus Heaney,Gabriela Mistral
Ivo Andrić,Gabriela Mistral
Hispanic,Gabriela Mistral
Vicente Aleixandre,Gabriela Mistral
Jaroslav Seifert,Gabriela Mistral
List of poets,Gabriela Mistral
Johannes V. Jensen,Gabriela Mistral
Eugene O'Neill,Gabriela Mistral
Coquimbo Region,Gabriela Mistral
Verner von Heidenstam,Gabriela Mistral
Heinrich Böll,Gabriela Mistral
Kazuo Ishiguro,Gabriela Mistral
Theodor Mommsen,Gabriela Mistral
Doris Lessing,Gabriela Mistral
Harold Pinter,Gabriela Mistral
Stefan Zweig,Gabriela Mistral
Imre Kertész,Gabriela Mistral
Pär Lagerkvist,Gabriela Mistral
"Roslyn Harbor, New York",Gabriela Mistral
Culture of Chile,Gabriela Mistral
Xalapa,Gabriela Mistral
Odysseas Elytis,Gabriela Mistral
Giorgos Seferis,Gabriela Mistral
Isabel Allende,Gabriela Mistral
Maurice Maeterlinck,Gabriela Mistral
Octavio Paz,Gabriela Mistral
Mario Vargas Llosa,Gabriela Mistral
François Mauriac,Gabriela Mistral
Paul Heyse,Gabriela Mistral
Ivan Bunin,Gabriela Mistral
Pearl S. Buck,Gabriela Mistral
Artturi Ilmari Virtanen,Gabriela Mistral
Dario Fo,Gabriela Mistral
Nadine Gordimer,Gabriela Mistral
Eyvind Johnson,Gabriela Mistral
Bjørnstjerne Bjørnson,Gabriela Mistral
1914 in literature,Gabriela Mistral
José Martí,Gabriela Mistral
Gao Xingjian,Gabriela Mistral
1945 in literature,Gabriela Mistral
1952 in literature,Gabriela Mistral
1957 in literature,Gabriela Mistral
List of people on the postage stamps of Chile,Gabriela Mistral
Harry Martinson,Gabriela Mistral
1889 in literature,Gabriela Mistral
List of Chileans,Gabriela Mistral
Carlos Guastavino,Gabriela Mistral
Rudolf Christoph Eucken,Gabriela Mistral
Gerhart Hauptmann,Gabriela Mistral
José Echegaray,Gabriela Mistral
Romain Rolland,Gabriela Mistral
Karl Adolph Gjellerup,Gabriela Mistral
Carl Spitteler,Gabriela Mistral
Erik Axel Karlfeldt,Gabriela Mistral
Mikhail Sholokhov,Gabriela Mistral
Joseph Brodsky,Gabriela Mistral
Cordell Hull,Gabriela Mistral
Alice Munro,Gabriela Mistral
Yasunari Kawabata,Gabriela Mistral
Temuco,Gabriela Mistral
Camilo José Cela,Gabriela Mistral
Little Red Riding Hood,Gabriela Mistral
Eugenio Montale,Gabriela Mistral
Kenzaburō Ōe,Gabriela Mistral
Carlisle Floyd,Gabriela Mistral
Juan Ramón Jiménez,Gabriela Mistral
J. M. Coetzee,Gabriela Mistral
Claude Simon,Gabriela Mistral
Henrik Pontoppidan,Gabriela Mistral
Jacinto Benavente,Gabriela Mistral
