linked_person,source
1901 Nobel Prize in Literature,Gabriela Mistral
1902 Nobel Prize in Literature,Gabriela Mistral
1903 Nobel Prize in Literature,Gabriela Mistral
1904 Nobel Prize in Literature,Gabriela Mistral
1905 Nobel Prize in Literature,Gabriela Mistral
1906 Nobel Prize in Literature,Gabriela Mistral
1907 Nobel Prize in Literature,Gabriela Mistral
1908 Nobel Prize in Literature,Gabriela Mistral
1909 Nobel Prize in Literature,Gabriela Mistral
1910 Nobel Prize in Literature,Gabriela Mistral
1911 Nobel Prize in Literature,Gabriela Mistral
1912 Nobel Prize in Literature,Gabriela Mistral
1913 Nobel Prize in Literature,Gabriela Mistral
1914 Nobel Prize in Literature,Gabriela Mistral
1915 Nobel Prize in Literature,Gabriela Mistral
1916 Nobel Prize in Literature,Gabriela Mistral
1917 Nobel Prize in Literature,Gabriela Mistral
1918 Nobel Prize in Literature,Gabriela Mistral
1919 Nobel Prize in Literature,Gabriela Mistral
1920 Nobel Prize in Literature,Gabriela Mistral
1921 Nobel Prize in Literature,Gabriela Mistral
1922 Nobel Prize in Literature,Gabriela Mistral
1923 Nobel Prize in Literature,Gabriela Mistral
1925 Nobel Prize in Literature,Gabriela Mistral
1926 Nobel Prize in Literature,Gabriela Mistral
1927 Nobel Prize in Literature,Gabriela Mistral
1928 Nobel Prize in Literature,Gabriela Mistral
1929 Nobel Prize in Literature,Gabriela Mistral
1930 Nobel Prize in Literature,Gabriela Mistral
1931 Nobel Prize in Literature,Gabriela Mistral
1932 Nobel Prize in Literature,Gabriela Mistral
1933 Nobel Prize in Literature,Gabriela Mistral
1934 Nobel Prize in Literature,Gabriela Mistral
1935 Nobel Prize in Literature,Gabriela Mistral
1936 Nobel Prize in Literature,Gabriela Mistral
1937 Nobel Prize in Literature,Gabriela Mistral
1938 Nobel Prize in Literature,Gabriela Mistral
1939 Nobel Prize in Literature,Gabriela Mistral
1940 Nobel Prize in Literature,Gabriela Mistral
1941 Nobel Prize in Literature,Gabriela Mistral
1942 Nobel Prize in Literature,Gabriela Mistral
1943 Nobel Prize in Literature,Gabriela Mistral
1944 Nobel Prize in Literature,Gabriela Mistral
1945 Nobel Prize in Literature,Gabriela Mistral
1946 Nobel Prize in Literature,Gabriela Mistral
1947 Nobel Prize in Literature,Gabriela Mistral
1948 Nobel Prize in Literature,Gabriela Mistral
1949 Nobel Prize in Literature,Gabriela Mistral
1950 Nobel Prize in Literature,Gabriela Mistral
1951 Nobel Prize in Literature,Gabriela Mistral
1952 Nobel Prize in Literature,Gabriela Mistral
1953 Nobel Prize in Literature,Gabriela Mistral
1954 Nobel Prize in Literature,Gabriela Mistral
1955 Nobel Prize in Literature,Gabriela Mistral
1956 Nobel Prize in Literature,Gabriela Mistral
1957 Nobel Prize in Literature,Gabriela Mistral
1958 Nobel Prize in Literature,Gabriela Mistral
1959 Nobel Prize in Literature,Gabriela Mistral
1960 Nobel Prize in Literature,Gabriela Mistral
1961 Nobel Prize in Literature,Gabriela Mistral
1962 Nobel Prize in Literature,Gabriela Mistral
1963 Nobel Prize in Literature,Gabriela Mistral
1964 Nobel Prize in Literature,Gabriela Mistral
1965 Nobel Prize in Literature,Gabriela Mistral
1966 Nobel Prize in Literature,Gabriela Mistral
1967 Nobel Prize in Literature,Gabriela Mistral
1968 Nobel Prize in Literature,Gabriela Mistral
1969 Nobel Prize in Literature,Gabriela Mistral
1970 Nobel Prize in Literature,Gabriela Mistral
1971 Nobel Prize in Literature,Gabriela Mistral
1972 Nobel Prize in Literature,Gabriela Mistral
1973 Nobel Prize in Literature,Gabriela Mistral
1974 Nobel Prize in Literature,Gabriela Mistral
1975 Nobel Prize in Literature,Gabriela Mistral
1976 Nobel Prize in Literature,Gabriela Mistral
1977 Nobel Prize in Literature,Gabriela Mistral
1978 Nobel Prize in Literature,Gabriela Mistral
1979 Nobel Prize in Literature,Gabriela Mistral
1980 Nobel Prize in Literature,Gabriela Mistral
1981 Nobel Prize in Literature,Gabriela Mistral
1982 Nobel Prize in Literature,Gabriela Mistral
1983 Nobel Prize in Literature,Gabriela Mistral
1984 Nobel Prize in Literature,Gabriela Mistral
1985 Nobel Prize in Literature,Gabriela Mistral
1986 Nobel Prize in Literature,Gabriela Mistral
1987 Nobel Prize in Literature,Gabriela Mistral
1988 Nobel Prize in Literature,Gabriela Mistral
1989 Nobel Prize in Literature,Gabriela Mistral
1990 Nobel Prize in Literature,Gabriela Mistral
1991 Nobel Prize in Literature,Gabriela Mistral
1992 Nobel Prize in Literature,Gabriela Mistral
1993 Nobel Prize in Literature,Gabriela Mistral
1994 Nobel Prize in Literature,Gabriela Mistral
1995 Nobel Prize in Literature,Gabriela Mistral
1996 Nobel Prize in Literature,Gabriela Mistral
1997 Nobel Prize in Literature,Gabriela Mistral
1998 Nobel Prize in Literature,Gabriela Mistral
1999 Nobel Prize in Literature,Gabriela Mistral
2000 Nobel Prize in Literature,Gabriela Mistral
2001 Nobel Prize in Literature,Gabriela Mistral
2002 Nobel Prize in Literature,Gabriela Mistral
2003 Nobel Prize in Literature,Gabriela Mistral
2004 Nobel Prize in Literature,Gabriela Mistral
2005 Nobel Prize in Literature,Gabriela Mistral
2006 Nobel Prize in Literature,Gabriela Mistral
2007 Nobel Prize in Literature,Gabriela Mistral
2008 Nobel Prize in Literature,Gabriela Mistral
2009 Nobel Prize in Literature,Gabriela Mistral
2010 Nobel Prize in Literature,Gabriela Mistral
2011 Nobel Prize in Literature,Gabriela Mistral
2012 Nobel Prize in Literature,Gabriela Mistral
2013 Nobel Prize in Literature,Gabriela Mistral
2014 Nobel Prize in Literature,Gabriela Mistral
2015 Nobel Prize in Literature,Gabriela Mistral
2016 Nobel Prize in Literature,Gabriela Mistral
2017 Nobel Prize in Literature,Gabriela Mistral
2018 Nobel Prize in Literature,Gabriela Mistral
2019 Nobel Prize in Literature,Gabriela Mistral
2020 Nobel Prize in Literature,Gabriela Mistral
2021 Nobel Prize in Literature,Gabriela Mistral
2022 Nobel Prize in Literature,Gabriela Mistral
2023 Nobel Prize in Literature,Gabriela Mistral
2024 Nobel Prize in Literature,Gabriela Mistral
2025 Nobel Prize in Literature,Gabriela Mistral
20th Century Press Archives,Gabriela Mistral
Abdulrazak Gurnah,Gabriela Mistral
Albert Camus,Gabriela Mistral
Alejandra Quintana Arocho,Gabriela Mistral
Aleksandr Solzhenitsyn,Gabriela Mistral
Alexander Fleming,Gabriela Mistral
Alice Munro,Gabriela Mistral
Allen Ginsberg,Gabriela Mistral
Amanda Labarca,Gabriela Mistral
Anatole France,Gabriela Mistral
Andes,Gabriela Mistral
André Gide,Gabriela Mistral
Anna Akhmatova,Gabriela Mistral
Anna Świrszczyńska,Gabriela Mistral
Anne Freeland,Gabriela Mistral
Annie Ernaux,Gabriela Mistral
Antofagasta,Gabriela Mistral
Argentina,Gabriela Mistral
Artturi Ilmari Virtanen,Gabriela Mistral
Atacama Desert,Gabriela Mistral
Autodidacticism,Gabriela Mistral
Barnard College,Gabriela Mistral
"Barrancas, Pichilemu",Gabriela Mistral
Basques,Gabriela Mistral
Bertrand Russell,Gabriela Mistral
Bjørnstjerne Bjørnson,Gabriela Mistral
Bob Dylan,Gabriela Mistral
Boris Pasternak,Gabriela Mistral
Brazil,Gabriela Mistral
Buenos Aires,Gabriela Mistral
California,Gabriela Mistral
Camilo José Cela,Gabriela Mistral
Caribbean,Gabriela Mistral
Carl Spitteler,Gabriela Mistral
Celibacy,Gabriela Mistral
Chilean National Prize for Literature,Gabriela Mistral
Chilean peso,Gabriela Mistral
Claude Simon,Gabriela Mistral
Cold War,Gabriela Mistral
Columbia University,Gabriela Mistral
Consul (representative),Gabriela Mistral
Cordell Hull,Gabriela Mistral
Correspondent,Gabriela Mistral
Czesław Miłosz,Gabriela Mistral
Dario Fo,Gabriela Mistral
Delmira Agustini,Gabriela Mistral
Derek Walcott,Gabriela Mistral
Diabetes,Gabriela Mistral
Doi (identifier),Gabriela Mistral
Doris Dana,Gabriela Mistral
Doris Lessing,Gabriela Mistral
Dressmaker,Gabriela Mistral
Eduardo Frei Montalva,Gabriela Mistral
Eduardo Santos Montejo,Gabriela Mistral
Eleanor Roosevelt,Gabriela Mistral
Elfriede Jelinek,Gabriela Mistral
Elias Canetti,Gabriela Mistral
Erik Axel Karlfeldt,Gabriela Mistral
Ernest Hemingway,Gabriela Mistral
Ernst Chain,Gabriela Mistral
Eugene O'Neill,Gabriela Mistral
Eugenio Montale,Gabriela Mistral
Eyvind Johnson,Gabriela Mistral
Floral Games,Gabriela Mistral
Forough Farrokhzad,Gabriela Mistral
France,Gabriela Mistral
Frans Eemil Sillanpää,Gabriela Mistral
François Mauriac,Gabriela Mistral
