name,birth_date,death_date,description,occupation,nationality,gender
Abdulrazak Gurnah,1948-12-20T00:00:00Z,,Tanzanian novelist and academic.,writer,United Kingdom,male
Abdulrazak Gurnah,1948-12-20T00:00:00Z,,Tanzanian novelist and academic.,prose writer,Tanzania,male
Abdulrazak Gurnah,1948-12-20T00:00:00Z,,Tanzanian novelist and academic.,novelist,Tanzania,male
Abdulrazak Gurnah,1948-12-20T00:00:00Z,,Tanzanian novelist and academic.,university teacher,Tanzania,male
Abdulrazak Gurnah,1948-12-20T00:00:00Z,,Tanzanian novelist and academic.,editing staff,Tanzania,male
Abdulrazak Gurnah,1948-12-20T00:00:00Z,,Tanzanian novelist and academic.,editing staff,United Kingdom,male
Abdulrazak Gurnah,1948-12-20T00:00:00Z,,Tanzanian novelist and academic.,prose writer,United Kingdom,male
Abdulrazak Gurnah,1948-12-20T00:00:00Z,,Tanzanian novelist and academic.,novelist,United Kingdom,male
Abdulrazak Gurnah,1948-12-20T00:00:00Z,,Tanzanian novelist and academic.,university teacher,United Kingdom,male
Abdulrazak Gurnah,1948-12-20T00:00:00Z,,Tanzanian novelist and academic.,writer,Tanzania,male
Albert Camus,1913-11-07T00:00:00Z,1960-01-04T00:00:00Z,"French philosopher, author, and journalist (1913–1960)",writer,France,male
Albert Camus,1913-11-07T00:00:00Z,1960-01-04T00:00:00Z,"French philosopher, author, and journalist (1913–1960)",essayist,France,male
Albert Camus,1913-11-07T00:00:00Z,1960-01-04T00:00:00Z,"French philosopher, author, and journalist (1913–1960)",novelist,France,male
Albert Camus,1913-11-07T00:00:00Z,1960-01-04T00:00:00Z,"French philosopher, author, and journalist (1913–1960)",opinion journalist,France,male
Albert Camus,1913-11-07T00:00:00Z,1960-01-04T00:00:00Z,"French philosopher, author, and journalist (1913–1960)",philosopher,France,male
Albert Camus,1913-11-07T00:00:00Z,1960-01-04T00:00:00Z,"French philosopher, author, and journalist (1913–1960)",journalist,France,male
Albert Camus,1913-11-07T00:00:00Z,1960-01-04T00:00:00Z,"French philosopher, author, and journalist (1913–1960)",association football player,France,male
Albert Camus,1913-11-07T00:00:00Z,1960-01-04T00:00:00Z,"French philosopher, author, and journalist (1913–1960)",poet,France,male
Albert Camus,1913-11-07T00:00:00Z,1960-01-04T00:00:00Z,"French philosopher, author, and journalist (1913–1960)",French resistance fighter,France,male
Albert Camus,1913-11-07T00:00:00Z,1960-01-04T00:00:00Z,"French philosopher, author, and journalist (1913–1960)",playwright,France,male
Alberto Baeza Flores,1914-01-01T00:00:00Z,1998-01-06T00:00:00Z,Chilean writer (1914–1998),journalist,Chile,male
Alberto Baeza Flores,1914-01-01T00:00:00Z,1998-01-06T00:00:00Z,Chilean writer (1914–1998),writer,Chile,male
Alberto Baeza Flores,1914-01-01T00:00:00Z,1998-01-06T00:00:00Z,Chilean writer (1914–1998),poet,Chile,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",novelist,Russia,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",militant,statelessness,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",screenwriter,Russian Socialist Federative Soviet Republic,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",writer,Russian Socialist Federative Soviet Republic,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",teacher,Russian Socialist Federative Soviet Republic,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",opinion journalist,Russia,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",poet,Russian Socialist Federative Soviet Republic,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",historian,Russian Socialist Federative Soviet Republic,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",playwright,Russian Socialist Federative Soviet Republic,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",public figure,Russian Socialist Federative Soviet Republic,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",school teacher,Russian Socialist Federative Soviet Republic,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",full member of RAS,Russian Socialist Federative Soviet Republic,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",opinion journalist,Russian Socialist Federative Soviet Republic,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",prose writer,Russian Socialist Federative Soviet Republic,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",short story writer,statelessness,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",short story writer,Russian Socialist Federative Soviet Republic,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",militant,Russian Socialist Federative Soviet Republic,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",school teacher,Russia,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",public figure,Russia,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",playwright,Russia,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",historian,Russia,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",poet,Russia,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",military personnel,Russia,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",teacher,Russia,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",writer,Russia,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",screenwriter,Russia,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",novelist,Russian Socialist Federative Soviet Republic,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",prose writer,statelessness,male
